Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count,Escore
2017-01-02,24618,25342,24130,24993,94979,0.010649898642857142,24522.571428571428,24456.39285714286,24047.071428571428,25261.130952357144,28362.526785428574,0.0,0.0,24993
2017-01-03,25063,26167,24833,25976,134002,0.03504756121428572,24896.14285714286,24593.321428571428,24207.160714285714,25221.86309471429,28293.080356214283,0.0,1.0,25976
2017-01-04,25988,26608,25453,26247,164944,0.015760206214285716,25277.785714285714,24763.821428571428,24378.535714285714,25186.8750005,28222.473214785714,0.0,0.0,26247
2017-01-05,26245,26406,25622,25879,105584,-0.006043171071428571,25533.428571428572,24912.714285714286,24532.089285714286,25148.970237857142,28144.154762142858,0.0,0.0,25879
2017-01-06,26046,26565,25673,25904,106585,0.000249043642857143,25800.285714285714,25084.60714285714,24675.803571428572,25122.761905214287,28069.416666214285,0.0,0.0,25904
2017-01-09,25990,26284,25450,25760,73799,-0.007767424357142857,25953.5,25238.035714285714,24787.946428571428,25091.14285714286,27996.630951928568,0.0,0.0,25760
2017-01-10,25789,25970,24925,25121,116286,-0.026057967428571426,25782.571428571428,25339.35714285714,24851.5,25054.964286428574,27919.952380714287,0.0,0.0,25121
2017-01-11,25160,25430,24858,25162,68642,0.002051870928571428,25565.5,25421.64285714286,24915.839285714286,25027.166667857146,27843.678570499997,0.0,0.0,25162
2017-01-12,25129,25732,24806,25137,344205,0.0016383878571428572,25417.214285714286,25475.321428571428,24952.071428571428,25000.488096428573,27772.815475499996,0.0,0.0,25137
2017-01-13,25097,25650,24755,25164,1738577,0.010506087,25269.214285714286,25534.75,24975.51785714286,24970.00595142857,27702.42857164286,0.0,0.0,25164
2017-01-16,25228,25426,24548,24872,699668,-0.00838476021428571,25091.714285714286,25522.60714285714,24989.5,24934.8869055,27626.95535778572,0.0,0.0,24872
2017-01-17,24816,25151,24333,24475,280703,-0.01533628342857143,24962.428571428572,25372.5,24982.910714285714,24893.523809285714,27552.491071714285,0.0,0.0,24475
2017-01-18,24550,24802,24165,24577,459514,0.004045754999999999,24845.5,25205.5,24984.660714285714,24853.208333357143,27476.14285714286,0.0,0.0,24577
2017-01-19,24716,24941,24187,24404,203207,-0.005487925428571428,24698.85714285714,25058.035714285714,24985.375,24806.48214292857,27399.6755955,0.0,0.0,24404
2017-01-20,24355,24662,23975,24221,166921,-0.013450144285714285,24510.214285714286,24889.714285714286,24987.160714285714,24751.8988105,27323.318452142856,1.0,1.4,24560
2017-01-23,24269,25499,24050,25064,519932,0.04664853728571429,24548.64285714286,24820.178571428572,25029.10714285714,24717.059524500004,27256.19047528571,0.0,0.0,25064
