Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count,Escore
2017-01-02,83312,83729,81153,81876,69553,-0.009957567999999998,85355.58,85109.13999999998,84131.33,88627.6966696,102590.10916630001,0.0,0.0,81876
2017-01-03,82541,83122,80504,80939,98633,-0.011616148900000001,84210.0,84741.42,83991.34,88289.58666,102203.0158284,1.0,2.8,83205
2017-01-04,81376,82464,80516,81949,111549,0.0044370621,83254.92,84462.36000000002,83884.93000000001,87989.311664,101832.63416370002,1.0,4.4,85554
2017-01-05,82321,83740,81588,82747,117277,0.0081367313,82310.6,84220.28,84027.26999999999,87688.1566664,101479.04333360001,1.0,3.0,85229
2017-01-06,82286,82855,81419,82191,62670,-0.005628915,81940.92,84023.48000000001,84152.675,87420.85834060001,101126.86083240001,1.0,2.2,83999
2017-01-09,82225,82511,80259,80737,68651,-0.013329951999999997,81713.0,83534.29000000001,84158.885,87162.1233293,100770.43667299997,-0.0,1.7,80737
2017-01-10,80375,81089,79445,80327,90724,-0.0057120784,81590.56,82900.28,84037.04,86910.633337,100417.3691737,1.0,2.2,82094
2017-01-11,80222,81273,79249,79988,74086,-0.0021627224999999995,81198.38,82226.65,83792.06999999999,86661.31833000001,100058.5241703,1.0,2.2,81747
2017-01-12,79780,80611,78749,79599,79585,-0.004616792,80568.88,81439.74,83529.55,86400.9233304,99697.8016704,1.0,1.4,80713
2017-01-13,79557,82357,79192,81295,79746,0.011468121699999998,80389.7,81165.31,83310.405,86182.97999759999,99361.5641776,1.0,2.6,83408
2017-01-16,81467,82143,80031,81025,58003,-0.0028891933000000005,80447.4,81080.2,83094.67,85940.6583323,99017.77749870002,1.0,2.4,82969
2017-01-17,81232,81666,80285,80677,68994,-0.002270435699999999,80517.4,81053.98000000001,82897.7,85683.27334170001,98689.53334259997,1.0,2.8,82935
2017-01-18,80688,81785,80291,80975,51910,0.0050461263,80714.74,80956.56,82709.45999999999,85469.1783303,98354.71333340001,1.0,2.6,83080
