Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count,Escore
2017-01-02,20787,21318,20464,20970,119387,0.022145541374999998,20527.1,20538.6875,20087.525,20542.829166249998,20713.131249125,0.0,0.0,20970
2017-01-03,21006,21621,20700,21128,213315,-0.0026810348750000005,20712.625,20573.35,20214.456250000003,20529.947916625,20721.862500375002,1.0,2.0,21550
2017-01-04,21282,21572,20743,20990,268973,-0.0021508684999999982,20833.899999999998,20622.6375,20320.2125,20513.779165875,20729.7343745,1.0,2.2,21451
2017-01-05,21064,21249,20684,21047,140929,0.004716262625,20951.1,20678.275,20430.54375,20492.5125005,20738.332290375,0.0,0.0,21047
2017-01-06,20989,21734,20863,21456,139602,0.016596994500000004,21118.525,20778.7,20551.075,20484.5875,20748.819792125,0.0,0.0,21456
2017-01-09,21558,21944,21155,21510,153393,0.005034718875,21226.575,20876.8375,20654.44375,20469.0166675,20763.004166625004,0.0,0.0,21510
2017-01-10,21480,21677,20954,21263,146239,-0.008950538875,21253.625,20983.125,20731.225,20449.479166625,20775.741667375005,0.0,0.0,21263
2017-01-11,21338,21809,21096,21573,147629,0.014499308375,21370.2,21102.05,20815.46875,20434.374999625,20789.8156245,1.0,2.8,22177
2017-01-12,21578,21847,21240,21494,118831,-0.0040316531249999996,21459.725,21205.4125,20879.825,20420.531249624997,20800.402084125,0.0,0.0,21494
2017-01-13,21400,21914,21172,21566,161458,0.010924476125000004,21481.725,21300.125,20912.7375,20411.799997875,20808.955208375002,1.0,1.4,21867
2017-01-16,21637,21825,21099,21260,120303,-0.013343126124999997,21431.675,21329.125,20933.90625,20398.168751125,20815.540625875,0.0,0.0,21260
2017-01-17,21205,21424,20799,20994,169419,-0.002678818124999999,21377.824999999997,21315.725,20944.5375,20384.074999999997,20821.507292000002,0.0,0.0,20994
2017-01-18,21020,21484,20795,21338,109803,0.0162769645,21330.850000000002,21350.525,20986.581250000003,20378.091665,20830.686458875,0.0,0.0,21338
2017-01-19,21259,21698,20955,21173,114492,-0.001290257625,21266.5,21363.1125,21020.69375,20366.949999124998,20838.991665875,1.0,1.4,21469
2017-01-20,21019,21272,20690,20958,121205,-0.005124146625,21144.85,21313.2875,21045.993749999998,20348.812499624997,20844.207292500003,1.0,1.7,21314
2017-01-23,21006,21476,20786,21020,129240,8.551624999999759e-06,21096.975,21264.325,21070.58125,20332.106250750003,20848.975000375,1.0,1.4,21314
2017-01-24,20997,21468,20700,20983,181910,0.00351797625,21094.9,21236.362500000003,21109.74375,20316.125001124998,20847.5156255,1.0,1.0,21192
2017-01-25,21114,21574,20732,21110,164170,0.006456715,21049.225,21190.0375,21146.04375,20332.1812505,20845.305207625,1.0,1.0,21321
2017-01-26,21182,21493,20865,21216,112952,0.01234638625,21057.875,21162.1875,21183.800000000003,20364.291665375,20843.300000124997,1.0,1.7,21576
2017-01-31,21158,21535,20913,21250,130585,0.007422809625000002,21116.3,21130.575,21215.35,20390.779167499997,20842.319792500002,0.0,0.0,21250
2017-02-01,21162,21743,20890,21453,265452,0.0019698533750000004,21202.85,21149.9125,21239.51875,20423.4229175,20839.839584125002,0.0,0.0,21453
2017-02-02,21616,21967,21087,21459,157938,-0.0025858177500000003,21297.925000000003,21196.4125,21256.06875,20451.6125,20838.48541575,0.0,0.0,21459
2017-02-03,21447,21648,21010,21337,145965,-0.0032317591249999998,21343.25,21196.2375,21273.38125,20482.177082000002,20838.385417875,1.0,1.4,21635
2017-02-06,21325,21535,21009,21271,119905,-0.009118614625,21354.225,21206.05,21284.58125,20511.712499999998,20839.907291625,0.0,0.0,21271
2017-02-07,21206,21552,20768,21312,201303,-0.0002989265000000004,21366.675,21241.4875,21277.387499999997,20532.08124825,20840.752083375002,1.0,1.4,21610
2017-02-08,21308,21517,20882,21218,104571,-0.0016773605000000005,21319.75,21261.3,21262.8125,20551.085418000002,20840.31771,0.0,0.0,21218
2017-02-09,21252,21377,20944,21174,130506,0.004084072,21262.824999999997,21280.375,21258.36875,20565.341665875,20842.1031255,0.0,2.0,21174
2017-02-10,21154,21618,20830,21131,192094,-0.0037325855000000002,21221.800000000003,21282.525,21236.28125,20579.927083249997,20843.982292125,0.0,0.0,21131
2017-02-13,21118,21563,20639,21233,145995,0.005278176874999999,21214.199999999997,21284.2125,21223.2,20588.8749995,20845.405209999997,1.0,2.4,21742
2017-02-14,21198,21630,20971,21359,139011,-0.0034074226250000008,21223.6,21295.1375,21212.85625,20600.120833875,20850.891665875002,0.0,0.0,21359
2017-02-15,21459,21685,21027,21431,146288,0.002289638,21266.050000000003,21292.899999999998,21221.40625,20614.931249625002,20855.33124875,1.0,2.2,21902
2017-02-16,21461,21918,21183,21484,130480,0.007491759750000001,21328.05,21295.4375,21245.925,20637.195833374997,20860.355208750003,1.0,1.0,21698
2017-02-17,21446,22026,21262,21712,109581,0.002897120125,21444.25,21333.025,21264.63125,20660.245832875,20867.854167875,0.0,0.0,21712
2017-02-20,21932,22183,21436,21776,141481,0.006625356875,21552.8,21383.5,21294.774999999998,20688.564582875002,20877.053125875,0.0,3.2,21776
2017-02-21,21814,22274,21498,21904,119812,0.0005150079999999989,21661.775,21442.6875,21342.0875,20724.712500875,20889.86354075,1.0,2.2,22385
2017-02-22,21972,22432,21675,22203,236999,0.005276370625000002,21816.175000000003,21541.112500000003,21401.206250000003,20761.883331625002,20907.181249125,1.0,1.7,22580
2017-02-23,22297,22654,21772,22292,201223,-0.014579784874999998,21977.675,21652.8625,21466.61875,20800.618750375,20921.820832875,1.0,1.7,22670
2017-02-24,22269,22614,21815,22353,178898,-0.011364146625,22105.85,21775.050000000003,21528.7875,20844.168749125,20936.774999625,1.0,2.0,22800
2017-02-27,22391,23183,22067,22642,128947,0.013671231625,22279.175000000003,21915.9875,21600.1,20898.691667125,20953.200002125,0.0,0.0,22642
2017-02-28,22656,23008,22150,22464,127272,-0.00752728525,22391.175000000003,22026.475,21660.80625,20951.44375,20966.831250000003,0.0,0.0,22464
2017-03-02,22560,22895,21956,22537,141689,-0.004870840125000001,22458.075,22137.125,21715.0125,21014.018751249998,20978.8395825,0.0,0.0,22537
2017-03-03,22591,22736,21999,22419,125811,-0.005263601749999999,22483.574999999997,22230.625,21763.03125,21077.852084625,20990.97812575,1.0,2.4,22957
2017-03-06,22415,22827,21940,22452,98577,0.011011836250000002,22503.4,22304.625,21818.824999999997,21137.472916125003,21005.2156255,0.0,0.0,22452
2017-03-07,22430,23041,22281,22789,113670,0.008173335375,22532.824999999997,22406.0,21894.75,21203.291667499998,21023.015623375,0.0,0.0,22789
2017-03-08,22885,23094,22473,22647,112384,-0.005089661000000001,22569.375,22480.275,21961.48125,21263.314582875,21040.54583075,1.0,2.4,23190
2017-03-09,22644,23040,22411,22754,99122,0.015344091625,22612.699999999997,22535.3875,22038.25,21318.502082,21062.342707875,1.0,1.7,23140
2017-03-10,22636,23363,22255,23178,130177,0.020729709625,22764.4,22623.987500000003,22138.425000000003,21376.006248750004,21084.367709125,0.0,0.0,23178
2017-03-13,23244,23674,22904,23397,147407,0.009877606374999999,22953.375,22728.387499999997,22251.71875,21434.489583,21105.469790875,1.0,1.0,23630
2017-03-14,23475,23589,22923,23078,117857,-0.010450269125,23011.025,22771.925000000003,22343.956250000003,21482.327083375,21123.869790875,1.0,4.0,24001
2017-03-15,23070,23654,22791,23233,169068,0.0055664898749999995,23128.275,22848.825,22437.65,21521.0812475,21143.040625750004,1.0,1.0,23465
2017-03-16,23300,23658,22815,23277,148463,-0.0014717918750000005,23232.975,22922.8375,22529.981249999997,21561.764583750002,21158.731251625,1.0,1.4,23602
2017-03-17,23314,23739,22954,23540,155581,0.0183133805,23305.4,23034.9,22632.7625,21607.74166625,21176.08854175,0.0,0.0,23540
2017-03-20,23640,23944,23140,23505,114456,-0.005724756625,23326.925,23140.15,22722.3875,21657.866666250004,21192.78125,1.0,1.0,23740
2017-03-21,23603,24140,23150,23473,148933,-0.009845278375000002,23405.975,23208.5,22807.25,21707.572916625,21208.08437425,0.0,0.0,23473
2017-03-22,23438,23933,23150,23552,181370,0.004987692875,23469.775,23299.024999999998,22889.65,21759.243750499998,21225.076042375,0.0,0.0,23552
2017-03-23,23721,24944,23398,24652,256450,0.027809444625,23744.824999999997,23488.9,23012.14375,21827.977084125,21251.15000175,1.0,1.4,24997
2017-03-24,25155,25676,24194,24950,212149,0.014750886375000001,24026.85,23666.125,23145.05625,21907.13958375,21278.608333750002,1.0,1.7,25374
2017-03-27,25011,25337,24484,25077,146195,0.008673846874999998,24341.175,23834.050000000003,23281.21875,21985.350000874998,21302.464582375,1.0,1.0,25327
2017-03-28,25195,25518,24732,25267,104936,0.005971995,24700.075,24053.025,23412.475,22065.458332000002,21327.437499625,0.0,0.0,25267
2017-03-29,25324,26174,24813,25882,145411,0.011799076625,25166.074999999997,24317.925,23583.375,22153.177082875,21356.902082375,0.0,0.0,25882
2017-03-30,26103,27240,25835,26671,294773,0.0373737985,25569.7,24657.2625,23790.050000000003,22248.19374875,21395.511458875,1.0,1.7,27124
2017-03-31,26826,29099,25007,25462,392209,0.002000527624999998,25672.175,24849.5125,23942.20625,22320.435416125,21425.191665875,1.0,2.4,26073
2017-04-03,25958,26384,25077,25673,256864,0.010896049500000001,25791.375,25066.275,24103.2125,22398.47291625,21456.126041625,1.0,1.0,25929
2017-04-04,25334,26362,24578,25412,200277,-0.019621636,25820.374999999996,25260.225,24234.3625,22471.23125,21481.87187575,0.0,0.0,25412
2017-04-05,25282,25850,24713,25325,212827,0.004420403625000001,25708.899999999998,25437.4875,24368.25625,22535.708333,21510.147917000002,1.0,1.4,25679
2017-04-06,25247,25923,24722,25285,275569,0.010177063124999998,25431.875,25500.787500000002,24494.84375,22598.635416375,21533.826041250002,0.0,0.0,25285
2017-04-07,25348,25642,24491,24764,189920,-0.008863614999999998,25292.175,25482.175000000003,24574.15,22656.981249124998,21553.230206625,1.0,1.7,25184
2017-04-10,24886,25332,24080,24585,241273,-0.025255507000000003,25074.6,25432.987500000003,24633.51875,22707.172918,21570.7739575,0.0,0.0,24585
2017-04-11,24514,25197,24189,25017,163134,0.017558214875000002,24995.575,25407.975000000002,24730.5,22765.885416250003,21593.208334125,1.0,1.4,25367
2017-04-12,25080,25646,24704,25247,306641,0.013982659125000001,24980.1,25344.5,24831.2125,22827.239585,21619.519790750004,1.0,1.4,25600
2017-04-13,25298,25705,25055,25466,239292,0.022700369875,25016.15,25224.0125,24940.6375,22897.341665874996,21647.755206625,1.0,2.8,26179
2017-04-14,25379,25656,24708,24862,163152,-0.023863697375,25035.825,25164.0,25006.75625,22961.814583,21672.944792500002,1.0,1.0,25110
2017-04-17,24865,25454,24610,25131,210262,0.021994112375,25145.05,25109.825,25088.05,23025.0229175,21701.55729125,1.0,2.0,25633
2017-04-18,25193,25761,24958,25556,183650,0.019830355625,25252.8,25124.1875,25192.206250000003,23098.077085,21732.513540750002,0.0,0.0,25556
2017-04-19,25527,26074,25229,25622,234477,-0.008047016,25327.699999999997,25153.9,25295.693750000002,23175.810415500004,21762.311457125,0.0,0.0,25622
2017-04-20,25729,26270,25293,25768,206842,0.0005765562500000003,25388.149999999998,25202.15,25351.46875,23254.9395825,21793.52291575,1.0,1.0,26025
2017-04-21,25910,26174,25214,25644,162753,-0.00758376875,25544.449999999997,25290.1375,25386.15625,23332.610414125,21824.367709125,0.0,1.0,25644
2017-04-24,25585,26233,25258,25784,264571,-0.012065861749999999,25675.0,25410.024999999998,25421.50625,23410.504165375,21871.34270625,1.0,2.6,26454
2017-04-25,25854,26381,25561,26145,159301,0.010061234625000002,25792.75,25522.775,25465.375,23492.649999625002,21928.470832125,1.0,1.4,26511
2017-04-26,26214,26565,25839,26298,193626,-0.002356404625000002,25928.0,25627.850000000002,25486.175,23576.785416625,21983.782292,1.0,1.0,26560
2017-04-27,26343,26739,25617,26137,225285,-0.005174770499999999,26001.75,25694.949999999997,25459.48125,23654.847918,22039.135417,1.0,1.7,26581
2017-04-28,26125,26476,25397,25798,149366,-0.0034941628750000016,26032.575,25788.5125,25476.25625,23727.164583375,22089.388541625,1.0,2.6,26468
2017-05-02,25804,26197,25149,25860,116313,0.013312139125,26047.8,25861.399999999998,25485.612500000003,23802.55,22142.363541625,0.0,0.0,25860
2017-05-04,25768,26462,25562,26163,147065,0.012951924750000001,26051.525,25922.137500000004,25523.1625,23884.091666625,22197.902082375003,0.0,0.0,26163
2017-05-08,26215,27033,25954,26906,167463,0.021016684,26173.075,26050.5375,25602.21875,23977.318748750004,22254.70000175,1.0,1.0,27175
2017-05-10,26905,27641,26452,27220,205455,0.01799844775,26389.649999999998,26195.7,25698.925,24077.339582125,22314.212499625002,1.0,2.0,27764
2017-05-11,27354,28368,27136,28136,226670,0.034676606875,26857.3,26444.9375,25867.537500000002,24193.370832125,22379.356249250002,0.0,0.0,28136
2017-05-12,28130,28520,27542,27960,162261,-0.004459773875,27277.275,26662.5375,26036.28125,24307.172917125,22443.54999875,1.0,1.4,28351
2017-05-15,28097,28327,27419,27888,155851,-0.005732710250000001,27622.149999999998,26836.8375,26179.80625,24418.0875,22503.4812505,0.0,0.0,27888
2017-05-16,27875,28056,27102,27435,168531,-0.02095561575,27728.075,26950.575,26289.2125,24519.358332,22559.739583375,1.0,1.7,27901
2017-05-17,27345,28099,26676,27552,229895,-0.0025595162500000007,27794.525,27092.0875,26393.51875,24621.3791675,22618.155207875003,1.0,1.0,27827
2017-05-18,27101,27988,26949,27785,157610,0.005574359250000001,27724.325,27290.8125,26539.6625,24726.39375125,22681.794792875,1.0,1.7,28257
2017-05-19,27886,28861,27464,28331,170125,0.032889308875,27798.625,27537.949999999997,26699.675,24836.704166625,22748.474999125003,1.0,1.7,28812
2017-05-22,28544,29282,27562,28172,142997,0.0023054878750000006,27855.5,27738.825,26830.48125,24943.312500500004,22815.938540749998,0.0,0.0,28172
2017-05-23,28508,29189,28023,28802,165368,0.013733701625,28128.725000000002,27928.399999999998,26989.46875,25058.270832875,22891.491666249996,1.0,1.7,29291
2017-05-24,29006,29306,28432,28854,166773,0.005237560000000002,28389.175,28091.850000000002,27143.774999999998,25169.129166250004,22965.50624875,0.0,0.0,28854
2017-05-25,29053,29618,28448,28886,187874,-0.010271079874999998,28609.45,28166.887499999997,27305.9125,25279.041667875,23039.830207125,1.0,1.7,29377
2017-05-26,29068,29457,28632,29248,134208,0.01082556425,28792.875,28295.75,27479.143750000003,25393.956250875,23119.0625,0.0,1.0,29248
2017-05-29,29471,30099,28835,29437,148003,0.010388836875,29045.800000000003,28450.649999999998,27643.743749999998,25507.19791925,23202.94479175,0.0,0.0,29437
2017-05-30,29481,29993,29117,29651,160428,0.019410821874999998,29215.699999999997,28672.2125,27811.393750000003,25626.981248750002,23289.212499625,1.0,1.4,30066
2017-05-31,29615,30127,29178,29778,124477,0.0030330161250000003,29400.475,28894.825,27993.45625,25747.66249875,23380.840624625,0.0,0.0,29778
2017-06-01,29767,30485,29419,30039,172719,0.0150929145,29631.0,29120.225000000002,28205.51875,25874.660415000002,23476.256250375,0.0,0.0,30039
2017-06-02,30018,30290,29617,30084,149847,-0.00045969812500000007,29798.175,29295.525,28416.737500000003,26001.85416625,23569.66354125,1.0,1.0,30384
2017-06-05,30159,30777,29588,30514,140084,0.00459463575,30013.575,29529.6875,28634.25625,26130.59375075,23666.942707875,0.0,0.0,30514
2017-06-07,30466,30780,29982,30486,143627,0.00042137162500000035,30180.65,29698.175,28813.287500000002,26261.254167000003,23762.2843745,0.0,0.0,30486
2017-06-08,30654,31517,30216,31139,184492,0.013942333624999997,30452.8,29926.6375,29009.243749999998,26401.004166625,23859.753125375,0.0,0.0,31139
2017-06-09,31272,31983,30587,31252,260499,0.011633869375,30695.475,30163.2375,29165.0625,26535.583335375002,23955.794790875003,0.0,0.0,31252
2017-06-12,31013,31608,29818,30622,224806,-0.018321408750000004,30803.074999999997,30300.625,29298.1875,26655.9958325,24045.242708750004,1.0,1.7,31142
2017-06-13,30608,31321,30095,31040,200671,0.015634797125000002,30908.35,30460.9625,29455.80625,26788.70416625,24135.515625375,0.0,0.0,31040
2017-06-14,31249,32245,30803,31533,322371,0.019396632125,31117.75,30649.2,29660.70625,26927.043749624998,24224.0625,0.0,1.4,31533
2017-06-15,31645,32146,30956,31710,223864,0.010559136375,31232.0,30842.399999999998,29868.6125,27067.589584125002,24314.677083374998,0.0,0.0,31710
2017-06-16,32018,32758,31573,32452,223597,0.026649105375000003,31471.949999999997,31083.7125,30101.96875,27216.1291675,24411.935416250002,0.0,1.0,32452
2017-06-19,32672,33661,30293,30845,346303,-0.008635035375000003,31516.625,31159.85,30227.6875,27338.4708325,24498.168748750002,0.0,0.0,30845
2017-06-20,30769,31933,30196,30642,251918,-0.0027245653750000015,31437.075,31172.7125,30351.199999999997,27457.962499625,24582.767707500007,1.0,2.2,31316
2017-06-21,30452,31539,30152,30960,200217,-0.002501766875000003,31322.475,31220.112500000003,30459.14375,27581.435417125,24670.339582499997,0.0,0.0,30960
2017-06-22,31149,31715,30653,31430,173402,0.0082091725,31266.524999999998,31249.262499999997,30587.95,27694.397915375,24761.18750075,0.0,0.0,31430
2017-06-23,31477,32525,31042,32037,205796,0.028549617625,31183.475000000002,31327.7125,30745.475,27812.514583375,24859.82708325,1.0,1.4,32485
2017-06-26,32514,32761,31778,32270,153850,0.007911988625,31468.4,31492.512499999997,30896.56875,27932.406250374996,24958.878125875006,1.0,1.7,32818
2017-06-27,32298,33040,31829,32633,282563,0.01750331275,31866.600000000002,31651.837499999998,31056.4,28055.172916625,25060.315623249997,1.0,2.0,33285
2017-06-28,32585,33024,31901,32345,238224,-0.008198357375,32143.55,31733.0125,31191.106249999997,28162.891665375,25158.03437625,1.0,1.7,32894
2017-06-29,32582,32740,31678,31870,141354,-0.008653093125,32231.425,31748.975,31295.6875,28249.541667125,25248.8677075,1.0,1.4,32316
2017-06-30,31710,32540,31106,31896,166063,-0.0123690925,32203.175,31693.324999999997,31388.51875,28356.7645825,25338.599999125003,0.0,0.0,31896
2017-07-03,32134,32510,31001,31526,178949,-0.010889535,32054.375,31761.387499999997,31460.618749999998,28454.322917875,25426.397916625003,1.0,2.0,32156
2017-07-04,31485,31870,30101,30819,184866,-0.020055339375,31691.55,31779.075,31475.89375,28544.4374995,25507.8343755,1.0,2.2,31497
2017-07-05,30753,31456,30465,31020,120311,0.012470927,31426.475000000002,31785.0125,31502.562499999996,28639.356252125002,25587.532292125,0.0,0.0,31020
2017-07-06,31071,31557,30532,31028,107292,0.001546979625,31258.15,31744.7875,31497.025,28735.064582125,25666.850000000002,0.0,0.0,31028
2017-07-07,30855,31391,30453,30957,155828,-0.010202483750000001,31070.525,31636.850000000002,31482.281250000004,28838.293749999997,25747.63750125,1.0,2.4,31699
2017-07-10,31145,31413,30162,30540,113335,-0.007595714,30873.4,31463.887500000004,31478.2,28937.5562505,25822.364582500002,0.0,0.0,30540
2017-07-11,30508,30918,30092,30704,145709,0.0057886895,30850.45,31271.0,31461.418750000004,29032.343749625004,25899.11458375,0.0,0.0,30704
2017-07-12,30819,31192,30157,30688,138113,-0.0028398784999999977,30784.05,31105.262499999997,31419.1375,29123.018749624996,25975.1291645,0.0,0.0,30688
2017-07-13,30654,31251,30468,30928,122816,0.009897053874999999,30763.975,31011.062499999996,31380.01875,29214.050002125,26055.695831250003,0.0,0.0,30928
2017-07-14,30880,31512,30144,30817,205974,0.0018565026249999991,30735.925,30903.225,31298.275,29313.30208425,26137.558333,0.0,0.0,30817
2017-07-17,30846,31156,29649,30411,204674,-0.007466046625,30710.100000000002,30791.75,31276.568750000002,29401.31041875,26213.166668750004,0.0,0.0,30411
2017-07-18,30472,31169,29732,30476,204068,0.010529049999999998,30664.35,30757.4,31268.2375,29483.306249999998,26290.69166625,-0.0,1.0,30476
2017-07-19,30510,31791,30198,31565,214466,0.028011524875,30839.875,30811.962499999998,31298.4875,29582.366667875,26379.088542875,1.0,2.4,32322
2017-07-20,31852,32876,31265,32372,362152,0.01958747225,31128.725000000002,30946.35,31345.56875,29692.43124925,26473.685418375,1.0,2.4,33148
2017-07-21,32537,33041,31804,32682,163853,0.012564225,31501.7,31118.8125,31377.83125,29809.739583000002,26571.174999124996,0.0,0.0,32682
2017-07-24,32790,33102,32153,32791,161343,-0.0010333458750000006,31977.625000000004,31343.8625,31403.875,29926.529167,26668.5166675,0.0,0.0,32791
2017-07-25,32905,33241,31882,32100,206974,-0.025578862,32302.475,31483.4125,31377.20625,30025.783332875,26759.21666625,0.0,0.0,32100
2017-07-26,32148,32480,30773,31596,205848,-0.023960936250000002,32308.6,31574.2375,31339.749999999996,30114.083334625,26845.43437375,1.0,2.4,32354
2017-07-27,31577,32258,30983,31906,109811,0.010363096625,32215.45,31672.087499999998,31341.575,30210.239584125,26932.543750375,1.0,1.0,32225
2017-07-28,31695,31880,30704,30957,183833,-0.042185413374999994,31870.425000000003,31686.0625,31294.64375,30296.227085375,27011.69583375,1.0,2.6,31761
2017-07-31,30573,31748,30073,31277,148274,0.00762194025,31567.550000000003,31772.587499999998,31282.16875,30386.508332125,27094.529167999997,0.0,0.0,31277
2017-08-01,31332,31727,30554,30995,121270,-0.005728005625000001,31346.55,31824.5125,31290.956250000003,30467.035415874998,27175.563542499996,0.0,0.0,30995
2017-08-02,31051,31618,30284,30755,201244,0.0026536283750000006,31178.274999999998,31743.437499999996,31277.7,30531.18333425,27254.251042,1.0,1.4,31185
2017-08-03,31173,31338,29465,29797,315090,-0.037388232125000004,30756.4,31485.925,31216.1375,30574.13541575,27325.737499625,1.0,1.0,30094
2017-08-04,30069,31439,29513,31240,217933,0.028017403875,30813.024999999998,31341.725,31230.26875,30625.87083075,27409.620830874996,1.0,1.0,31552
2017-08-07,31451,32497,30970,31675,221388,0.021933880625,30892.774999999998,31230.1625,31287.0125,30687.8000005,27497.4864575,0.0,0.0,31675
2017-08-08,31824,32231,30957,31715,152529,0.012121932125000004,31036.774999999998,31191.662500000002,31337.537500000002,30751.58749875,27584.8375,1.0,1.4,32159
2017-08-09,31677,31960,30653,30915,133448,-0.018552701125,31068.9,31123.587499999998,31348.912500000002,30809.585417875,27664.471875,1.0,1.0,31224
2017-08-10,30863,31697,30202,31115,178431,-0.0015717368750000017,31332.55,31044.475,31358.28125,30868.970832500003,27745.175,0.0,0.0,31115
2017-08-11,30529,31269,30041,30385,155265,-0.028136139125,31161.524999999998,30987.275,31336.66875,30912.304166624996,27819.3489575,0.0,0.0,30385
