Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count,Escore
2017-01-02,20110,20648,19846,20244,216063,0.016902374090909087,19893.327272727274,19802.445454545454,19682.93181818182,19547.396968999998,19932.51666654545,0.0,0.0,20244
2017-01-03,20241,20562,19712,20048,271511,-0.007855975363636362,19993.30909090909,19838.981818181815,19741.46818181818,19542.304546272728,19935.037121818183,-0.0,1.4,20048
2017-01-04,20044,20464,19709,19933,442651,-0.0020142850909090904,20029.436363636363,19875.863636363636,19778.75,19533.340907636364,19936.236363909087,0.0,0.0,19933
2017-01-05,19965,20246,19564,20059,406125,0.013758332363636362,20088.090909090908,19917.063636363637,19810.195454545454,19527.11969609091,19938.71439363636,0.0,0.0,20059
2017-01-06,20159,20715,19833,20287,587659,0.012806831727272731,20114.52727272727,19971.854545454546,19834.06818181818,19533.527273,19942.880302272722,1.0,1.0,20489
2017-01-09,20204,20658,19864,20144,332582,0.000757722545454546,20094.69090909091,19994.00909090909,19852.70909090909,19534.862120909092,19945.91212118182,1.0,2.0,20546
2017-01-10,20045,20397,19844,20167,227951,-0.0004693364545454541,20118.47272727273,20055.890909090907,19873.95,19538.21818118182,19948.630302727277,-0.0,1.0,20167
2017-01-11,20083,20439,19578,19907,247947,-0.012634267636363635,20113.18181818182,20071.30909090909,19881.44090909091,19536.715152363635,19949.009091909094,1.0,3.3,20563
2017-01-12,20018,20302,19528,20064,202247,0.003819705909090908,20114.2,20101.145454545454,19901.272727272728,19538.045454000003,19950.87424209091,1.0,1.4,20344
2017-01-13,20060,20381,19758,20020,569700,0.00038064290909090785,20060.981818181815,20087.754545454543,19914.890909090907,19538.09999981818,19951.50303036364,0.0,0.0,20020
2017-01-16,20089,20289,19576,19878,207404,-0.02315209272727273,20007.8,20051.245454545457,19926.845454545455,19541.018182,19950.89318172727,0.0,0.0,19878
2017-01-17,19780,20182,19520,19840,179104,-0.0015139807272727276,19942.30909090909,20030.390909090907,19934.686363636363,19541.41363618182,19949.043181,0.0,0.0,19840
2017-01-18,19964,20872,19758,20560,319565,0.025161731090909092,20073.0,20093.090909090908,19984.477272727272,19554.756061818185,19951.815909636363,0.0,0.0,20560
