Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count,Escore
2017-01-02,20750,26650,20750,26650,610292,0.3,20890.0,20205.0,19697.5,20893.33333,24992.08333,0,0,26650
2017-01-03,26700,27250,25900,26700,370786,0.0018761729999999999,22550.0,20860.0,20107.5,20945.0,24965.41667,0,0,26700
2017-01-04,26600,27350,26250,26950,229973,0.009363296,24060.0,21575.0,20540.0,21004.16667,24930.41667,0,0,26950
2017-01-05,26600,26850,25550,26400,218733,-0.020408163,25440.0,22235.0,20940.0,21051.66667,24893.33333,0,0,26400
2017-01-06,28600,29250,26200,26500,586676,0.003787879,26640.0,22965.0,21352.5,21112.5,24850.0,0,0,26500
2017-01-09,27000,27050,26000,26400,169354,-0.003773585,26590.0,23740.0,21717.5,21173.33333,24805.0,0,0,26400
2017-01-10,26200,26200,24900,25000,275702,-0.053030303,26250.0,24400.0,21992.5,21220.0,24738.75,0,0,25000
2017-01-11,25000,25350,24700,25050,102797,0.002,25870.0,24965.0,22247.5,21295.83333,24677.5,0,0,25050
2017-01-12,25150,25200,23850,24000,146459,-0.041916168,25390.0,25415.0,22452.5,21345.83333,24615.41667,0,0,24000
2017-01-13,24150,24500,23400,24000,155152,0.0,24890.0,25765.0,22652.5,21393.33333,24545.41667,0,0,24000
2017-01-16,23400,23500,22650,22650,288384,-0.05625,24140.0,25365.0,22785.0,21419.16667,24467.91667,0,0,22650
2017-01-17,22650,23150,21900,22050,148431,-0.026490066,23550.0,24900.0,22880.0,21440.0,24385.0,0,0,22050
2017-01-18,22300,22650,21950,22250,91565,0.009070295,22990.0,24430.0,23002.5,21476.66667,24308.33333,0,0,22250
2017-01-19,22350,22600,21800,21800,110057,-0.020224719,22550.0,23970.0,23102.5,21495.83333,24220.83333,0,0,21800
2017-01-20,21700,22200,20600,20700,196233,-0.050458715999999994,21890.0,23390.0,23177.5,21491.66667,24127.08333,0,0,20700
2017-01-23,20750,21350,20650,20950,95357,0.012077295,21550.0,22845.0,23292.5,21501.66667,24039.58333,0,0,20950
2017-01-24,21300,21900,20400,20400,174520,-0.026252982999999997,21220.0,22385.0,23392.5,21502.5,23952.08333,0,0,20400
2017-01-25,20500,21000,20300,20400,60302,0.0,20850.0,21920.0,23442.5,21497.5,23853.75,0,0,20400
2017-01-26,20750,20850,20150,20350,49897,-0.00245098,20560.0,21555.0,23485.0,21490.0,23758.33333,0,0,20350
2017-01-31,20600,20750,19750,19750,74840,-0.029484029,20370.0,21130.0,23447.5,21475.0,23660.0,0,0,19750
2017-02-01,19850,20400,19750,20350,66007,0.030379747000000002,20250.0,20900.0,23132.5,21476.66667,23577.91667,0,0,20350
2017-02-02,20350,20450,19750,19750,62175,-0.029484029,20120.0,20670.0,22785.0,21430.83333,23488.75,0,0,19750
2017-02-03,19800,20100,19300,19600,62562,-0.0075949369999999995,19960.0,20405.0,22417.5,21387.5,23400.83333,0,0,19600
2017-02-06,19100,20000,18350,19700,123117,0.005102041,19830.0,20195.0,22082.5,21369.16667,23307.91667,0,0,19700
2017-02-07,19900,20200,19600,19750,39725,0.0025380710000000003,19830.0,20100.0,21745.0,21343.33333,23220.0,0,0,19750
2017-02-08,19700,19850,19300,19750,31652,0.0,19710.0,19980.0,21412.5,21299.16667,23129.58333,0,0,19750
2017-02-09,19950,20700,19750,20500,99776,0.037974684,19860.0,19990.0,21187.5,21270.83333,23043.75,0,0,20500
2017-02-10,20350,20450,20050,20100,52258,-0.019512195,19960.0,19960.0,20940.0,21237.5,22963.33333,0,0,20100
2017-02-13,20150,21950,20150,21800,303653,0.08457711400000001,20380.0,20105.0,20830.0,21231.66667,22901.25,0,0,21800
2017-02-14,21700,21800,21050,21300,106762,-0.02293578,20690.0,20260.0,20695.0,21217.5,22835.83333,0,0,21300
2017-02-15,21450,22600,20550,20550,295859,-0.035211268,20850.0,20280.0,20590.0,21193.33333,22769.16667,0,0,20550
