Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count,Escore
2017-01-02,60000,61800,60000,61500,24775,0.014851485,60760,60840,61110.0,63753.333329999994,66605.83333,0,0,61500
2017-01-03,62000,63900,61400,62800,155502,0.021138211,61220,61000,61295.0,63696.666670000006,66611.66667,0,0,62800
2017-01-04,62500,63600,61500,62600,94676,-0.003184713,61540,61200,61440.0,63618.333329999994,66610.83333,0,0,62600
2017-01-05,62500,62900,61300,62600,53720,0.0,62020,61400,61560.0,63498.333329999994,66614.16667,0,0,62600
2017-01-06,63200,63200,61700,61800,49093,-0.012779553,62260,61520,61525.0,63400.0,66623.33333,0,0,61800
2017-01-09,61400,61800,59900,60400,63244,-0.022653722,62040,61400,61405.0,63275.0,66626.66667,0,0,60400
2017-01-10,60000,61200,59900,61000,39850,0.009933775,61680,61450,61330.0,63178.333329999994,66653.33333,0,0,61000
2017-01-11,60600,61000,59700,59700,64648,-0.021311475,61100,61320,61230.0,63055.0,66668.33333,1,1,60297
2017-01-12,59600,60300,58400,60200,53418,0.008375209,60620,61320,61140.0,62968.333329999994,66680.83333,0,0,60200
2017-01-13,60300,60600,59400,59700,35798,-0.008305648,60200,61230,61020.0,62900.0,66691.66667,0,0,59700
2017-01-16,59700,60400,59400,59900,29388,0.003350084,60100,61070,60955.0,62816.666670000006,66704.16667,0,0,59900
2017-01-17,60200,61200,59400,60200,52910,0.005008347,59940,60810,60905.0,62743.333329999994,66718.33333,0,0,60200
2017-01-18,60700,64900,60300,64000,135001,0.063122924,60800,60950,61075.0,62736.666670000006,66762.5,0,0,64000
2017-01-19,64000,66900,64000,65900,135352,0.0296875,61940,61280,61340.0,62755.0,66806.66667,0,0,65900
2017-01-20,65400,66600,64500,65600,32811,-0.004552352,63120,61660,61590.0,62780.0,66827.5,1,1,66256
2017-01-23,65600,66300,64700,65000,33555,-0.009146341,64140,62120,61760.0,62768.333329999994,66844.16667,0,0,65000
2017-01-24,64200,65000,62600,64000,41801,-0.015384615,64900,62420,61935.0,62703.333329999994,66852.5,1,2,65280
2017-01-25,64800,64800,61900,62100,39939,-0.0296875,64520,62660,61990.0,62615.0,66842.5,0,0,62100
2017-01-26,62600,62600,60500,61300,42166,-0.012882448000000001,63600,62770,62045.0,62526.666670000006,66797.5,0,0,61300
2017-01-31,61300,61400,59900,60400,25284,-0.014681892,62560,62840,62035.0,62406.666670000006,66730.0,0,0,60400
2017-02-01,60400,61500,60200,61200,27876,0.013245033,61800,62970,62020.0,62293.333329999994,66665.0,1,1,61812
2017-02-02,61000,61600,60100,61100,46965,-0.0016339870000000002,61220,63060,61935.0,62181.666670000006,66601.66667,0,0,61100
2017-02-03,61300,61500,60000,60000,30342,-0.018003273,60800,62660,61805.0,62051.666670000006,66520.0,0,0,60000
2017-02-06,60500,60500,58000,58200,80613,-0.03,60180,61890,61585.0,61906.666670000006,66439.16667,0,0,58200
2017-02-07,58500,59000,56800,58600,94158,0.006872852,59820,61190,61425.0,61790.0,66363.33333,0,0,58600
2017-02-08,59000,64500,59000,64300,202519,0.097269625,60440,61120,61620.0,61761.666670000006,66321.66667,0,0,64300
2017-02-09,64500,65500,63500,64900,83513,0.00933126,61200,61210,61815.0,61746.666670000006,66292.5,0,1,64900
2017-02-10,65600,67000,65000,66500,42969,0.024653313,62500,61650,62155.0,61790.0,66258.33333,0,0,66500
2017-02-13,66800,66900,65200,66200,40296,-0.004511278,64100,62140,62455.0,61828.333329999994,66203.33333,0,0,66200
2017-02-14,66000,67100,65200,66100,50449,-0.001510574,65600,62710,62775.0,61866.666670000006,66138.33333,0,0,66100
2017-02-15,66200,66300,64200,66000,65868,-0.0015128589999999999,65940,63190,63080.0,61923.333329999994,66062.5,0,0,66000
2017-02-16,67000,67000,64400,64900,27130,-0.016666667,65940,63570,63315.0,61966.666670000006,65970.83333,0,0,64900
2017-02-17,65000,65800,64200,64600,17165,-0.004622495999999999,65560,64030,63345.0,62005.0,65873.33333,0,0,64600
2017-02-20,64600,64600,63000,63500,23234,-0.017027864,65020,64560,63225.0,62031.666670000006,65767.5,0,0,63500
2017-02-21,63500,64500,62700,63600,41058,0.0015748029999999998,64520,65060,63125.0,62066.666670000006,65663.33333,0,0,63600
2017-02-22,64900,65800,64300,64400,40277,0.012578616,64200,65070,63095.0,62113.333329999994,65568.33333,1,2,65688
2017-02-23,64900,66100,64200,65400,32016,0.01552795,64300,65120,63165.0,62173.333329999994,65480.833329999994,1,3,67362
2017-02-24,65500,67300,65000,65400,48472,0.0,64460,65010,63330.0,62228.333329999994,65392.5,0,0,65400
2017-02-27,66800,66800,63800,64600,17197,-0.012232416000000001,64680,64850,63495.0,62241.666670000006,65287.5,0,0,64600
2017-02-28,65300,65300,63000,63200,26551,-0.021671827,64600,64560,63635.0,62251.666670000006,65165.833329999994,0,0,63200
2017-03-02,64100,64100,62700,63000,30046,-0.003164557,64320,64260,63725.0,62285.0,65036.666670000006,0,0,63000
2017-03-03,63000,63000,61300,61500,28871,-0.023809524,63540,63920,63745.0,62325.0,64900.833329999994,1,1,62115
2017-03-06,60700,61600,60200,61400,40649,-0.001626016,62740,63600,63815.0,62353.333329999994,64779.166670000006,0,0,61400
