Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count,Escore
2017-01-02,24618,25342,24130,24993,94979,0.010649899,24522.57143,24456.39286,24047.07143,25261.13095,28362.52679,0,0,24993
2017-01-03,25063,26167,24833,25976,134002,0.035047561,24896.14286,24593.32143,24207.16071,25221.86309,28293.08036,0,1,25976
2017-01-04,25988,26608,25453,26247,164944,0.015760206,25277.78571,24763.82143,24378.53571,25186.875,28222.47321,0,0,26247
2017-01-05,26245,26406,25622,25879,105584,-0.006043171,25533.42857,24912.71429,24532.08929,25148.97024,28144.15476,0,0,25879
2017-01-06,26046,26565,25673,25904,106585,0.000249044,25800.28571,25084.60714,24675.80357,25122.76191,28069.41667,0,0,25904
2017-01-09,25990,26284,25450,25760,73799,-0.007767424,25953.5,25238.03571,24787.94643,25091.14286,27996.63095,0,0,25760
2017-01-10,25789,25970,24925,25121,116286,-0.026057967,25782.57143,25339.35714,24851.5,25054.96429,27919.95238,0,0,25121
2017-01-11,25160,25430,24858,25162,68642,0.002051871,25565.5,25421.64286,24915.83929,25027.16667,27843.67857,0,0,25162
2017-01-12,25129,25732,24806,25137,344205,0.001638388,25417.21429,25475.32143,24952.07143,25000.4881,27772.81548,0,0,25137
2017-01-13,25097,25650,24755,25164,1738577,0.010506087,25269.21429,25534.75,24975.51786,24970.00595,27702.42857,0,0,25164
2017-01-16,25228,25426,24548,24872,699668,-0.00838476,25091.71429,25522.60714,24989.5,24934.88691,27626.95536,0,0,24872
2017-01-17,24816,25151,24333,24475,280703,-0.015336283,24962.42857,25372.5,24982.91071,24893.52381,27552.49107,0,0,24475
2017-01-18,24550,24802,24165,24577,459514,0.004045755,24845.5,25205.5,24984.66071,24853.20833,27476.14286,0,0,24577
2017-01-19,24716,24941,24187,24404,203207,-0.005487925,24698.85714,25058.03571,24985.375,24806.48214,27399.6756,0,0,24404
2017-01-20,24355,24662,23975,24221,166921,-0.013450144,24510.21429,24889.71429,24987.16071,24751.89881,27323.31845,1,1.4,24560
2017-01-23,24269,25499,24050,25064,519932,0.046648537,24548.64286,24820.17857,25029.10714,24717.05952,27256.19048,0,0,25064
2017-01-24,25051,25411,24400,24548,344824,-0.021690896,24563.42857,24762.92857,25051.14286,24684.45238,27192.99702,0,0,24548
2017-01-25,24617,24923,23999,24340,189825,0.00170194,24515.92857,24680.71429,25051.17857,24654.32143,27125.87202,1,1,24583
2017-01-26,24326,24799,24010,24403,123333,-0.002759525,24515.78571,24607.32143,25041.32143,24639.24405,27060.53571,0,0,24403
2017-01-31,24323,24641,23946,24274,169797,0.000508176,24526.35714,24518.28571,25026.51786,24619.47024,26994.30357,0,0,24274
2017-02-01,24412,25333,24264,25214,455109,0.056777252,24556.28571,24552.46429,25037.53571,24615.24405,26939.72024,1,2.8,25919
2017-02-02,25228,25697,24788,25168,2094569,-0.002363787,24680.28571,24621.85714,24997.17857,24598.59524,26885.16369,1,3,25923
2017-02-03,25095,25418,24637,24853,606903,-0.015544689,24783.07143,24649.5,24927.5,24576.13095,26826.17857,1,2.6,25499
2017-02-06,24810,25476,24400,25162,742608,0.005419459,24934.85714,24725.32143,24891.67857,24586.10119,26762.66667,0,0,25162
2017-02-07,25265,26076,25030,25626,3288877,0.019733037,25205.21429,24865.78571,24877.75,24594.91667,26709.47917,0,0,25626
2017-02-08,25573,27258,24953,26333,899286,-0.004379542,25429.07143,24992.67857,24906.42857,24619.29167,26664.19643,1,1,26596
2017-02-09,26467,27474,26117,26987,2378734,0.022419064,25792.78571,25236.53571,24999.73214,24655.88095,26626.03274,1,1,27256
2017-02-10,27038,27939,26698,27371,1380769,0.017163215,26296.21429,25539.64286,25110.17857,24701.04167,26593.53869,1,1,27644
2017-02-13,27489,28518,27256,28031,838116,0.022855575,26870,25902.42857,25254.875,24743.75,26566.1131,0,0,28031
2017-02-14,28174,28373,27425,27893,477388,-0.013210145,27323.42857,26264.32143,25391.30357,24783.54762,26540.58036,0,0,27893
2017-02-15,27801,28250,27390,27879,481127,0.002985462,27632.64286,26530.85714,25541.66071,24832.69048,26520.38393,0,0,27879
2017-02-16,27902,28171,27268,27867,347277,-0.00193226,27808.64286,26800.71429,25711.28571,24889.66667,26495.32143,1,1,28145
2017-02-17,27718,28737,27523,28036,382144,0.007704108,27941.71429,27118.96429,25884.23214,24944.93452,26474.94345,1,2.2,28652
2017-02-20,28063,28945,27802,28499,370768,0.016652892,28035.21429,27452.60714,26088.96429,25011.96429,26455.96726,1,1.4,28897
2017-02-21,28659,29158,28173,28847,485228,0.015284765,28226.07143,27774.75,26320.26786,25088.27381,26439.61012,0,0,28847
2017-02-22,29239,29813,28762,29475,1043657,0.01947442,28545.21429,28088.92857,26540.80357,25173.04167,26433.40476,0,0,29475
2017-02-23,29504,29808,28906,29246,257415,-0.006884648,28821.07143,28314.85714,26775.69643,25254.34524,26423.9375,0,1,29246
2017-02-24,29297,30160,29015,29634,352472,0.006354181,29140.71429,28541.21429,27040.42857,25343.79762,26420.82143,0,0,29634
2017-02-27,29591,29861,28478,28608,247787,-0.028691611,29162.64286,28598.92857,27250.67857,25415.95833,26402.06845,1,6.9,30581
2017-02-28,28663,29809,28333,29187,376108,0.025169072,29230.64286,28728.35714,27496.33929,25500.42857,26386.27976,1,17.7,34353
2017-03-02,29356,30480,28897,29675,350080,0.009800263,29270.64286,28907.92857,27719.39286,25601.33333,26374.1369,1,4.9,31129
2017-03-03,29678,30302,28903,29464,271169,-0.009472092,29314.21429,29067.64286,27934.17857,25712.83929,26359.96726,1,17,34472
2017-03-06,29555,29733,28474,28885,214434,-0.010021747,29164.35714,29152.53571,28135.75,25813.92857,26344.61905,1,3.6,29924
2017-03-07,28436,29117,27496,28735,370100,-0.013540821,29189.57143,29176.10714,28314.35714,25912.70833,26327.97619,1,6.4,30574
2017-03-08,28920,29203,28296,28421,150810,-0.005026312,29036.42857,29133.53571,28454.14286,26002.56548,26311.34226,1,16.5,33110
2017-03-09,28527,29555,28175,28780,1553605,0.024631672,28857.35714,29064,28576.46429,26090.27976,26304.29167,1,21.7,35025
2017-03-10,28879,29832,28150,29541,418921,0.011563849,28872.71429,29093.46429,28704.16071,26185.13095,26304.87202,1,22.3,36128
2017-03-13,29705,29951,29282,29526,223534,0.0002105,29000.92857,29082.64286,28811.92857,26279.31548,26306.29464,1,5.1,31031
2017-03-14,29568,29840,28775,29048,202186,-0.016892803,29063.57143,29126.57143,28862.75,26356.56548,26301.38095,1,17.2,34044
2017-03-15,29062,29396,28342,28797,248827,-0.003665551,29138.64286,29087.53571,28907.94643,26424.92262,26291.125,1,13,32540
2017-03-16,28944,29338,28680,28984,151021,0.001200347,29179.5,29018.42857,28963.17857,26498.11309,26283.48512,1,11.7,32375
2017-03-17,29039,29511,28561,29251,163966,0.009975028,29121.5,28997.10714,29032.375,26575.52381,26277.61607,1,15.9,33901
2017-03-20,29298,29527,28713,28898,124181,-0.009025834,28996,28998.46429,29075.5,26648.13095,26271.15476,1,4.1,30082
2017-03-21,28904,29368,28473,28826,141569,-0.006243859,28951.57143,29007.57143,29091.83929,26722.05952,26263.30655,1,15.6,33322
2017-03-22,28616,29744,28435,29308,175297,0.006574228,29053.85714,29096.25,29114.89286,26807.44048,26262.1131,1,10.6,32414
2017-03-23,29365,29956,28815,29381,881017,-0.007712267,29133.35714,29156.42857,29110.21429,26893.375,26260.11905,1,8.7,31937
2017-03-24,29464,29896,29058,29372,268735,-0.005169757,29157.64286,29139.57143,29116.51786,26981.11905,26260.80952,1,17.5,34512
2017-03-27,29496,29617,28718,29065,260325,-0.01660692,29190.92857,29093.46429,29088.05357,27059.8869,26260.15179,0,1,29065
2017-03-28,29091,29395,28596,28840,194308,-0.00041724,29193.71429,29072.64286,29099.60714,27130.53572,26256.88988,1,12,32300
2017-03-29,29002,29580,28528,29088,186271,0.010032785,29149.78571,29101.82143,29094.67857,27205.84524,26262.35417,1,16.6,33916
2017-03-30,29193,29609,28865,29118,145766,-0.00153746,29097.14286,29115.25,29066.83929,27274.58929,26267.86012,1,15.9,33747
2017-03-31,29164,29800,28844,29489,308105,0.012900111,29120.5,29139.07143,29068.08929,27333.14881,26277.50595,1,17.7,34708
2017-04-03,29577,30311,29244,30138,187483,0.015921177,29335.14286,29263.03571,29130.75,27398,26292.4375,1,3.6,31222
2017-04-04,30091,30594,29667,30141,177261,-0.001383862,29595.42857,29394.57143,29201.07143,27469.03571,26309.00298,1,13.9,34330
2017-04-05,30327,31683,30086,31229,198690,0.021683239,30023.57143,29586.67857,29341.46429,27557.78572,26340.27381,1,12.6,35163
2017-04-06,31476,31914,30801,31382,187017,0.000617665,30476.28571,29786.71429,29471.57143,27651.48809,26371.31548,1,11.9,35116
2017-04-07,31489,31723,30932,31362,196272,0.000689816,30850.78571,29985.64286,29562.60714,27755.5,26405.23214,1,13,35439
2017-04-10,28952,29451,27926,30266,196723,-0.029075943,30876.42857,30105.78571,29599.625,27840.57738,26433.87202,1,7,32384
2017-04-11,28102,28848,27818,30522,163825,0.001484533,30952.64286,30274.03571,29673.33929,27930.32143,26465.40476,1,14.4,34917
2017-04-12,28308,28877,27952,30653,372452,-0.000902553,30837.5,30430.53571,29766.17857,28021.80953,26495.90774,1,12.5,34484
