Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count,Escore
2017-01-02,83312,83729,81153,81876,69553,-0.009957568,85355.58,85109.14,84131.33,88627.69667,102590.1092,0,0,81876
2017-01-03,82541,83122,80504,80939,98633,-0.011616149,84210,84741.42,83991.34,88289.58666,102203.0158,1,2.8,83205
2017-01-04,81376,82464,80516,81949,111549,0.004437062,83254.92,84462.36,83884.93,87989.31166,101832.6342,1,4.4,85554
2017-01-05,82321,83740,81588,82747,117277,0.008136731,82310.6,84220.28,84027.27,87688.15667,101479.0433,1,3,85229
2017-01-06,82286,82855,81419,82191,62670,-0.005628915,81940.92,84023.48,84152.675,87420.85834,101126.8608,1,2.2,83999
2017-01-09,82225,82511,80259,80737,68651,-0.013329952,81713,83534.29,84158.885,87162.12333,100770.4367,0,1.7,80737
2017-01-10,80375,81089,79445,80327,90724,-0.005712078,81590.56,82900.28,84037.04,86910.63334,100417.3692,1,2.2,82094
2017-01-11,80222,81273,79249,79988,74086,-0.002162722,81198.38,82226.65,83792.07,86661.31833,100058.5242,1,2.2,81747
2017-01-12,79780,80611,78749,79599,79585,-0.004616792,80568.88,81439.74,83529.55,86400.92333,99697.80167,1,1.4,80713
2017-01-13,79557,82357,79192,81295,79746,0.011468122,80389.7,81165.31,83310.405,86182.98,99361.56418,1,2.6,83408
2017-01-16,81467,82143,80031,81025,58003,-0.002889193,80447.4,81080.2,83094.67,85940.65833,99017.7775,1,2.4,82969
2017-01-17,81232,81666,80285,80677,68994,-0.002270436,80517.4,81053.98,82897.7,85683.27334,98689.53334,1,2.8,82935
2017-01-18,80688,81785,80291,80975,51910,0.005046126,80714.74,80956.56,82709.46,85469.17833,98354.71333,1,2.6,83080
2017-01-19,80995,81409,79861,80242,58597,-0.009003544,80843.26,80706.07,82463.175,85254.09833,98042.78084,1,2.6,82328
2017-01-20,80314,83007,80038,81848,61536,0.009345718,80953.76,80671.73,82347.605,85050.40167,97726.09083,1,1.4,82993
2017-01-23,82101,82514,80978,81281,76032,-0.004781448,81004.98,80726.19,82130.24,84917.04832,97417.01167,1,1,82093
2017-01-24,81005,81541,79736,80358,85871,-0.010395326,80941.28,80729.34,81814.81,84800.76667,97140.49084,1,2.8,82608
2017-01-25,80225,81033,78781,79199,78914,-0.015349766,80586.22,80650.48,81438.565,84678.46999,96851.3375,1,1,79990
2017-01-26,79193,80085,78099,79292,68325,0.00363776,80396.3,80619.78,81029.76,84606.35666,96575.55083,0,2.4,79292
2017-01-31,79261,80682,78786,79499,54264,-0.001047913,79926.48,80440.12,80802.715,84486.03333,96287.85917,0,0,79499
2017-02-01,79750,81796,79267,81401,65432,0.015394667,79950.46,80477.72,80778.96,84363.22501,96019.33499,1,2,83029
2017-02-02,81178,81931,80266,80904,73877,-0.00627614,80059.5,80500.39,80777.185,84239.66667,95728.45751,1,2.2,82683
2017-02-03,81456,82166,80000,80866,66313,-0.005590742,80392.82,80489.52,80723.04,84088.70834,95436.56,1,3.3,83534
2017-02-06,81240,82588,80252,81438,86952,0.00840791,80821.98,80609.14,80657.605,83991.52834,95126.92416,1,2.6,83555
2017-02-07,81217,83368,80933,83035,99834,0.017673932,81529.2,80727.84,80699.785,83813.97334,94829.42166,1,1.7,84446
2017-02-08,82732,83611,81524,83097,82632,-0.004638477,81868.46,80909.46,80817.825,83668.47833,94517.36334,1,3.5,86005
2017-02-09,83180,83896,82231,82605,77920,-0.000713752,82208.8,81134.15,80931.745,83501.12499,94215.60583,0,1,82605
2017-02-10,83282,84314,82447,83655,125577,0.007897786,82766.52,81579.67,81115.075,83366.82,93936.11833,1,2.4,85662
2017-02-13,84074,85446,83649,84994,129148,0.018555092,83477.72,82149.85,81384.815,83254.19001,93680.2825,1,2,86693
2017-02-14,84621,85763,83771,85452,86062,0.00336902,83961.18,82745.19,81592.655,83165.33834,93432.98084,1,2,87161
2017-02-15,85736,88830,84897,88350,149002,0.030317781,85011.66,83440.06,81958.89,83158.79,93221.53501,1,3.2,91177
2017-02-16,88738,89252,86409,87562,88063,-0.007147426,86002.94,84105.87,82303.13,83171.8,92976.77083,1,2.6,89838
2017-02-17,87269,89375,86804,88641,104430,0.011090422,87000.14,84883.33,82686.425,83200.92,92740.84249,1,2.4,90768
2017-02-20,88927,89264,87080,87874,59311,-0.006324023,87576.04,85526.88,83068.01,83264.75666,92494.27083,1,2,89631
2017-02-21,87501,88892,87161,88269,60577,0.009700061,88139.3,86050.24,83389.04,83332.48833,92243.26166,1,3,90917
2017-02-22,88606,89140,87469,87832,79113,-0.004639391,88035.8,86523.73,83716.595,83366.5,92000.00501,1,5.2,92399
2017-02-23,88215,89680,87419,88792,98152,0.012705882,88281.88,87142.41,84138.28,83415.50333,91765.8925,1,1,89679
2017-02-24,89051,91483,88760,91084,86730,0.014984072,88770.5,87885.32,84732.495,83487.90333,91567.385,1,2.2,93087
2017-02-27,91626,93666,91100,92553,137488,0.013744988,89706.36,88641.2,85395.525,83581.40832,91381.36667,1,2.4,94774
2017-02-28,93291,93412,90159,92314,112450,-0.001326001,90515.48,89327.39,86036.29,83700.21,91194.53333,1,3.3,95360
2017-03-02,92638,92972,89306,89957,86385,-0.017698147,90940.34,89488.07,86464.065,83791.45166,90980.39584,0,1.4,89957
2017-03-03,89594,89991,87632,88765,62703,-0.010601531,90934.82,89608.35,86857.11,83875.21167,90767.06916,0,1,88765
2017-03-06,88189,89615,87383,88386,108350,-0.000885363,90395.38,89582.94,87233.135,83947.03499,90569.06751,1,2.2,90330
2017-03-07,88452,89466,87407,89018,79908,0.004576973,89688.34,89697.35,87612.115,84098.99667,90380.81749,0,0,89018
2017-03-08,89164,90123,87560,88256,119710,0.000225749,88876.8,89696.14,87873.19,84241.88333,90202.31917,1,1.7,89756
2017-03-09,88285,89302,87507,88202,105822,-0.000227226,88525.82,89733.08,88128.405,84368.37167,90024.81583,1,2.8,90671
2017-03-10,88281,89703,87398,88721,100350,0.00084694,88517.04,89725.93,88434.17,84467.65167,89847.0875,0,3.9,88721
2017-03-13,88965,89735,87962,88942,61489,0.000133562,88628.2,89511.79,88698.555,84535.23333,89661.22667,1,1.4,90187
2017-03-14,89032,89821,87722,88408,84095,-0.01126358,88506.22,89097.28,88869.24,84594.535,89437.24666,1,2,90176
2017-03-15,88616,89578,87190,88255,101819,-0.003539218,88506.02,88691.41,89009.4,84637.48668,89197.3175,1,2.2,90196
2017-03-16,88686,89317,87680,88202,68349,0.004534711,88506.04,88515.93,89002,84685.18667,88945.46167,0,1.7,88202
2017-03-17,88700,89220,87810,88509,77245,0.004497264,88463.66,88490.35,89049.35,84750.06,88683.77001,1,2.2,90456
2017-03-20,88499,89067,87245,88351,49740,-0.002882297,88345.34,88486.77,89034.855,84810.24666,88418.95,1,1,89234
2017-03-21,88608,89190,87107,87942,115560,-0.006539086,88252.18,88379.2,89038.275,84856.48666,88144.13166,1,2.6,90228
