Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count,Escore
2017-01-02,20787,21318,20464,20970,119387,0.022145541,20527.1,20538.6875,20087.525,20542.82917,20713.13125,0,0,20970
2017-01-03,21006,21621,20700,21128,213315,-0.002681035,20712.625,20573.35,20214.45625,20529.94792,20721.8625,1,2,21550
2017-01-04,21282,21572,20743,20990,268973,-0.002150868,20833.9,20622.6375,20320.2125,20513.77917,20729.73437,1,2.2,21451
2017-01-05,21064,21249,20684,21047,140929,0.004716263,20951.1,20678.275,20430.54375,20492.5125,20738.33229,0,0,21047
2017-01-06,20989,21734,20863,21456,139602,0.016596995,21118.525,20778.7,20551.075,20484.5875,20748.81979,0,0,21456
2017-01-09,21558,21944,21155,21510,153393,0.005034719,21226.575,20876.8375,20654.44375,20469.01667,20763.00417,0,0,21510
2017-01-10,21480,21677,20954,21263,146239,-0.008950539,21253.625,20983.125,20731.225,20449.47917,20775.74167,0,0,21263
2017-01-11,21338,21809,21096,21573,147629,0.014499308,21370.2,21102.05,20815.46875,20434.375,20789.81562,1,2.8,22177
2017-01-12,21578,21847,21240,21494,118831,-0.004031653,21459.725,21205.4125,20879.825,20420.53125,20800.40208,0,0,21494
2017-01-13,21400,21914,21172,21566,161458,0.010924476,21481.725,21300.125,20912.7375,20411.8,20808.95521,1,1.4,21867
2017-01-16,21637,21825,21099,21260,120303,-0.013343126,21431.675,21329.125,20933.90625,20398.16875,20815.54063,0,0,21260
2017-01-17,21205,21424,20799,20994,169419,-0.002678818,21377.825,21315.725,20944.5375,20384.075,20821.50729,0,0,20994
2017-01-18,21020,21484,20795,21338,109803,0.016276965,21330.85,21350.525,20986.58125,20378.09167,20830.68646,0,0,21338
2017-01-19,21259,21698,20955,21173,114492,-0.001290258,21266.5,21363.1125,21020.69375,20366.95,20838.99167,1,1.4,21469
2017-01-20,21019,21272,20690,20958,121205,-0.005124147,21144.85,21313.2875,21045.99375,20348.8125,20844.20729,1,1.7,21314
2017-01-23,21006,21476,20786,21020,129240,8.55E-06,21096.975,21264.325,21070.58125,20332.10625,20848.975,1,1.4,21314
2017-01-24,20997,21468,20700,20983,181910,0.003517976,21094.9,21236.3625,21109.74375,20316.125,20847.51563,1,1,21192
2017-01-25,21114,21574,20732,21110,164170,0.006456715,21049.225,21190.0375,21146.04375,20332.18125,20845.30521,1,1,21321
2017-01-26,21182,21493,20865,21216,112952,0.012346386,21057.875,21162.1875,21183.8,20364.29167,20843.3,1,1.7,21576
2017-01-31,21158,21535,20913,21250,130585,0.00742281,21116.3,21130.575,21215.35,20390.77917,20842.31979,0,0,21250
2017-02-01,21162,21743,20890,21453,265452,0.001969853,21202.85,21149.9125,21239.51875,20423.42292,20839.83958,0,0,21453
2017-02-02,21616,21967,21087,21459,157938,-0.002585818,21297.925,21196.4125,21256.06875,20451.6125,20838.48542,0,0,21459
2017-02-03,21447,21648,21010,21337,145965,-0.003231759,21343.25,21196.2375,21273.38125,20482.17708,20838.38542,1,1.4,21635
2017-02-06,21325,21535,21009,21271,119905,-0.009118615,21354.225,21206.05,21284.58125,20511.7125,20839.90729,0,0,21271
2017-02-07,21206,21552,20768,21312,201303,-0.000298927,21366.675,21241.4875,21277.3875,20532.08125,20840.75208,1,1.4,21610
2017-02-08,21308,21517,20882,21218,104571,-0.001677361,21319.75,21261.3,21262.8125,20551.08542,20840.31771,0,0,21218
2017-02-09,21252,21377,20944,21174,130506,0.004084072,21262.825,21280.375,21258.36875,20565.34167,20842.10313,0,2,21174
2017-02-10,21154,21618,20830,21131,192094,-0.003732586,21221.8,21282.525,21236.28125,20579.92708,20843.98229,0,0,21131
