Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count,Escore
2017-01-02,20110,20648,19846,20244,216063,0.016902374,19893.32727,19802.44545,19682.93182,19547.39697,19932.51667,0,0,20244
2017-01-03,20241,20562,19712,20048,271511,-0.007855975,19993.30909,19838.98182,19741.46818,19542.30455,19935.03712,0,1.4,20048
2017-01-04,20044,20464,19709,19933,442651,-0.002014285,20029.43636,19875.86364,19778.75,19533.34091,19936.23636,0,0,19933
2017-01-05,19965,20246,19564,20059,406125,0.013758332,20088.09091,19917.06364,19810.19545,19527.1197,19938.71439,0,0,20059
2017-01-06,20159,20715,19833,20287,587659,0.012806832,20114.52727,19971.85455,19834.06818,19533.52727,19942.8803,1,1,20489
2017-01-09,20204,20658,19864,20144,332582,0.000757723,20094.69091,19994.00909,19852.70909,19534.86212,19945.91212,1,2,20546
2017-01-10,20045,20397,19844,20167,227951,-0.000469336,20118.47273,20055.89091,19873.95,19538.21818,19948.6303,0,1,20167
2017-01-11,20083,20439,19578,19907,247947,-0.012634268,20113.18182,20071.30909,19881.44091,19536.71515,19949.00909,1,3.3,20563
2017-01-12,20018,20302,19528,20064,202247,0.003819706,20114.2,20101.14545,19901.27273,19538.04545,19950.87424,1,1.4,20344
2017-01-13,20060,20381,19758,20020,569700,0.000380643,20060.98182,20087.75455,19914.89091,19538.1,19951.50303,0,0,20020
2017-01-16,20089,20289,19576,19878,207404,-0.023152093,20007.8,20051.24545,19926.84545,19541.01818,19950.89318,0,0,19878
2017-01-17,19780,20182,19520,19840,179104,-0.001513981,19942.30909,20030.39091,19934.68636,19541.41364,19949.04318,0,0,19840
2017-01-18,19964,20872,19758,20560,319565,0.025161731,20073,20093.09091,19984.47727,19554.75606,19951.81591,0,0,20560
2017-01-19,20497,20992,20127,20446,504136,-0.001830138,20149.43636,20131.81818,20024.44091,19567.32273,19951.07652,0,0,20446
2017-01-20,20471,20712,20016,20445,221749,-0.010891244,20234.25455,20147.61818,20059.73636,19580.61061,19947.38939,1,1,20649
2017-01-23,20348,20689,20037,20121,186605,-0.018067489,20282.69091,20145.24545,20069.62727,19586.89091,19943.15076,0,0,20121
2017-01-24,20063,20470,19745,20099,274962,0.0064138,20334.50909,20138.40909,20097.15,19598.06818,19938.55303,1,1.4,20380
2017-01-25,20283,20549,19665,19865,474491,0.007139799,20195.38182,20134.19091,20102.75,19608.17727,19931.11894,1,1,20063
2017-01-26,20024,20210,19505,19737,249634,0.000846405,20053.67273,20101.55455,20101.35,19624.59848,19922.39242,1,1.7,20072
2017-01-31,19709,20001,19390,19630,196124,-0.003679978,19890.85455,20062.55455,20075.15455,19632.40303,19909.96667,0,0,19630
2017-02-01,19703,19985,19456,19822,287404,0.017852337,19831.21818,20056.95455,20054.1,19638.66818,19899.74773,1,1,20020
2017-02-02,19746,20085,19386,19626,268778,-0.029371911,19736.61818,20035.56364,20032.97727,19640.85606,19889.00909,0,0,19626
2017-02-03,19700,19887,19218,19348,187588,-0.010690755,19633.32727,19914.35455,20003.72273,19635.62121,19875.64773,1,1.4,19618
2017-02-06,19528,19698,19034,19163,178051,-0.001399497,19518.50909,19786.09091,19958.95455,19633.67576,19863.41742,0,0,19163
2017-02-07,19296,19415,18752,19152,160686,-0.00472653,19422.89091,19656.87273,19902.24545,19629.91667,19851.64545,1,2.6,19649
2017-02-08,19105,19825,18935,19612,151691,0.001657213,19380.72727,19605.97273,19875.60909,19635.80151,19842.775,1,1.7,19945
2017-02-09,19623,19901,19367,19656,179331,0.011882172,19386.69091,19561.65455,19850.03182,19643.95,19836.88712,0,1,19656
2017-02-10,19795,20084,19537,19817,133145,-0.005538381,19480.36364,19556.84545,19845.51818,19655.57576,19834.4553,1,1.4,20094
2017-02-13,19912,20071,19566,19873,137288,0.001475677,19622.25455,19570.38182,19835.96818,19665.05,19830.70606,0,1.4,19873
2017-02-14,19946,20207,19511,19895,128833,-0.004210128,19770.83636,19596.86364,19829.70909,19675.42727,19828.73182,1,2,20292
2017-02-15,19872,20098,19506,19843,155716,-0.009643096,19817.01818,19598.87273,19827.91364,19685.35606,19825.92197,1,1.4,20120
2017-02-16,20034,20281,19444,19851,154711,0.011173851,19856.05455,19621.37273,19828.46818,19699.25454,19822.23864,0,0,19851
2017-02-17,19908,20278,19692,19862,230555,0.011418883,19865.09091,19672.72727,19793.54091,19710.33636,19818.45227,1,1,20060
2017-02-20,19796,20111,19519,19807,219641,0.010634745,19851.98182,19737.11818,19761.60455,19724.91818,19812.73864,0,0,19807
2017-02-21,19848,20156,19606,19901,316996,0.00763141,19853.16364,19812,19734.43636,19743.80303,19807,1,1,20100
