Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count,Escore
2017-01-02,8420,9260,8410,8890,285768,0.060859189,8157.4,7730.7,6971.4,6246.55,6147.041667,0,0,8890
2017-01-03,8800,8870,8480,8700,180718,-0.021372328,8400.0,7913.1,7114.65,6272.816667,6177.283332999999,0,0,8700
2017-01-04,8600,9000,8260,8470,269461,-0.026436782000000002,8524.0,8065.8,7244.95,6306.066667,6205.291667,0,0,8470
2017-01-05,8640,8800,8530,8740,120558,0.031877214,8636.0,8221.6,7387.35,6348.75,6235.075,0,0,8740
2017-01-06,8800,8880,8360,8540,137408,-0.022883295,8668.0,8306.8,7517.85,6392.4,6263.025,0,0,8540
2017-01-09,8540,8550,7920,8070,271137,-0.055035129,8504.0,8330.7,7617.2,6423.45,6286.508333,0,0,8070
2017-01-10,7990,8130,7800,7950,167296,-0.014869888000000001,8354.0,8377.0,7698.6,6452.5,6307.875,-1,1,7870
2017-01-11,7970,8200,7790,8130,174752,0.022641509,8286.0,8405.0,7780.4,6484.55,6329.466667000001,0,0,8130
2017-01-12,8170,8200,7860,7860,83728,-0.033210332,8110.0,8373.0,7845.85,6510.983333,6348.333333,0,0,7860
2017-01-13,7840,8120,7790,7810,66594,-0.006361323,7964.0,8316.0,7904.5,6539.133333,6366.7,0,0,7810
2017-01-16,7780,7900,7330,7420,150198,-0.04993598,7834.0,8169.0,7949.85,6561.1,6382.85,0,0,7420
2017-01-17,7350,7650,7280,7390,60840,-0.0040431270000000005,7722.0,8038.0,7975.55,6580.166667,6399.866667,0,0,7390
2017-01-18,7470,7520,7140,7410,46125,0.00270636,7578.0,7932.0,7998.9,6602.6,6415.858333,0,0,7410
2017-01-19,7410,7740,7360,7710,87005,0.04048583,7548.0,7829.0,8025.3,6633.366667,6432.991667,0,0,7710
2017-01-20,7710,7900,7600,7600,60228,-0.014267185,7506.0,7735.0,8020.9,6662.15,6449.766667,0,0,7600
2017-01-23,7550,7760,7360,7360,46670,-0.031578947,7494.0,7664.0,7997.35,6686.616667,6464.383333,0,0,7360
2017-01-24,7360,7660,7300,7550,54298,0.025815217,7526.0,7624.0,8000.5,6719.65,6481.3,0,0,7550
2017-01-25,7640,7780,7580,7680,84290,0.017218543,7580.0,7579.0,7992.0,6753.583333,6498.983333,0,0,7680
2017-01-26,7700,7810,7690,7740,81900,0.0078125,7586.0,7567.0,7970.0,6793.45,6517.641667,0,0,7740
2017-01-31,7700,7850,7660,7750,67322,0.00129199,7616.0,7561.0,7938.5,6833.8,6536.625,0,0,7750
2017-02-01,7840,8140,7770,8100,190462,0.04516129,7764.0,7629.0,7899.0,6879.35,6556.85,0,0,8100
2017-02-02,8100,8100,7730,7850,122661,-0.030864198,7824.0,7675.0,7856.5,6916.283332999999,6573.725,0,0,7850
2017-02-03,7840,7850,7300,7350,123358,-0.063694268,7758.0,7669.0,7800.5,6944.233333,6585.875,0,0,7350
2017-02-06,7350,7820,7200,7520,134457,0.023129252000000003,7714.0,7650.0,7739.5,6980.116667,6599.516667,0,0,7520
2017-02-07,7590,7700,7200,7380,66865,-0.018617021,7640.0,7628.0,7681.5,7009.85,6612.475,0,0,7380
2017-02-08,7490,7490,7200,7350,35643,-0.004065041,7490.0,7627.0,7645.5,7037.8,6625.341667000001,1,2,7497
2017-02-09,7420,7450,7250,7270,42135,-0.010884353999999999,7374.0,7599.0,7611.5,7062.983333,6638.491667,0,0,7270
2017-02-10,7270,7380,7080,7150,59458,-0.01650619,7334.0,7546.0,7562.5,7085.216667000001,6651.516667,0,0,7150
2017-02-13,7120,7150,6850,6950,86131,-0.027972028,7220.0,7467.0,7517.0,7101.733333,6652.291667,0,0,6950
2017-02-14,7000,7050,6760,6800,55357,-0.021582734,7104.0,7372.0,7466.5,7114.466667000001,6653.883333,0,0,6800
2017-02-15,6900,6980,6800,6880,45414,0.011764706000000002,7010.0,7250.0,7439.5,7129.016667,6658.45,0,0,6880
2017-02-16,6970,6970,6750,6760,39154,-0.01744186,6908.0,7141.0,7408.0,7143.166667,6660.666667,0,0,6760
2017-02-17,6790,6900,6680,6890,48335,0.019230768999999998,6856.0,7095.0,7382.0,7161.383333,6665.316667,0,0,6890
2017-02-20,6930,7210,6890,7150,75678,0.037735849,6896.0,7058.0,7354.0,7184.733333,6672.85,0,0,7150
2017-02-21,7150,7250,7100,7150,60102,0.0,6966.0,7035.0,7331.5,7210.633333,6681.258333,0,0,7150
2017-02-22,7150,7230,7040,7040,28592,-0.015384615,6998.0,7004.0,7315.5,7232.783332999999,6689.95,0,0,7040
2017-02-23,7040,7150,6850,6950,36493,-0.012784091000000001,7036.0,6972.0,7285.5,7254.716667000001,6697.891667,0,0,6950
2017-02-24,6980,7040,6710,6850,38688,-0.014388488999999999,7028.0,6942.0,7244.0,7274.183333,6706.191667,0,0,6850
2017-02-27,6900,6900,6550,6550,43647,-0.04379562,6908.0,6902.0,7184.5,7286.1,6712.625,0,0,6550
2017-02-28,6480,6590,6310,6360,62351,-0.029007633999999997,6750.0,6858.0,7115.0,7293.583333,6717.475,0,0,6360
2017-03-02,6470,6470,6210,6220,61245,-0.022012578999999997,6586.0,6792.0,7021.0,7297.133333,6721.316667,0,0,6220
2017-03-03,6250,6280,6050,6090,51736,-0.020900322,6414.0,6725.0,6933.0,7301.383333,6721.933333,0,0,6090
2017-03-06,6130,6280,6020,6230,77005,0.022988506000000002,6290.0,6659.0,6877.0,7307.483333,6723.875,0,0,6230
2017-03-07,6330,6330,6140,6200,24918,-0.0048154090000000005,6220.0,6564.0,6811.0,7312.616667,6725.566667,0,0,6200
2017-03-08,6200,6300,6120,6160,24900,-0.006451613,6180.0,6465.0,6750.0,7316.45,6726.441667,0,0,6160
2017-03-09,6150,6180,6050,6080,34407,-0.012987013,6152.0,6369.0,6686.5,7316.4,6723.391667,0,0,6080
2017-03-10,6120,6330,6040,6170,57978,0.014802632,6168.0,6291.0,6631.5,7313.866667,6722.758333,0,0,6170
2017-03-13,6200,6510,6200,6510,78947,0.055105348,6224.0,6257.0,6599.5,7314.133333,6723.766667,0,0,6510
2017-03-14,6510,6980,6510,6860,127283,0.053763440999999995,6356.0,6288.0,6595.0,7319.283332999999,6718.225,0,0,6860
2017-03-15,6920,6980,6640,6800,94725,-0.008746356,6484.0,6332.0,6595.0,7322.0,6712.575,0,0,6800
2017-03-16,7050,7800,6860,7190,598596,0.057352941,6706.0,6429.0,6610.5,7333.283332999999,6713.041667,1,2,7333
2017-03-17,7230,7240,7070,7090,81768,-0.013908206000000001,6890.0,6529.0,6627.0,7336.85,6711.958333,0,0,7090
