Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count,Escore
2017-01-02,48100,48650,47650,48300,80486,-0.003095975,48830,48440,47932.5,45902.5,44240.41667,0,0,48300
2017-01-03,48300,48650,47200,47600,203498,-0.014492753999999998,48540,48350,48040.0,45942.5,44305.83333,-1,1,47124
2017-01-04,47350,48200,46950,47850,212521,0.0052521009999999995,48300,48360,48135.0,45981.66667,44375.83333,1,2,48807
2017-01-05,48150,48150,46950,47200,209154,-0.013584117,47880,48300,48222.5,46027.5,44438.33333,-1,2,46256
2017-01-06,47000,47750,46750,47750,119676,0.011652542,47740,48280,48255.0,46094.16667,44504.58333,-1,2,46795
2017-01-09,47300,47750,47000,47550,92284,-0.004188482,47590,48210,48270.0,46160.0,44566.66667,-1,2,46599
2017-01-10,47000,47700,46200,47700,217147,0.0031545740000000003,47610,48075,48222.5,46221.66667,44632.5,1,1,48177
2017-01-11,47050,48700,47050,48700,147133,0.020964361,47780,48040,48237.5,46285.83333,44704.58333,0,0,48700
2017-01-12,48700,48800,47750,48200,228549,-0.01026694,47980,47930,48227.5,46352.5,44772.08333,0,1,48200
2017-01-13,48400,48400,47100,47750,142979,-0.0093361,47980,47860,48172.5,46410.83333,44831.66667,1,1,48227
2017-01-16,47900,48000,47400,48000,99044,0.005235602,48070,47830,48135.0,46448.33333,44895.0,0,0,48000
2017-01-17,47300,48000,47300,47550,94219,-0.009375,48040,47825,48087.5,46474.16667,44954.58333,0,0,47550
2017-01-18,47550,47950,47250,47950,89692,0.008412198000000001,47890,47835,48097.5,46489.16667,45008.33333,1,1,48429
2017-01-19,47350,47900,46900,47200,164559,-0.015641293,47690,47835,48067.5,46501.66667,45053.33333,0,0,47200
2017-01-20,47100,47800,46900,47550,133850,0.0074152540000000005,47650,47815,48047.5,46530.0,45100.41667,0,0,47550
2017-01-23,47100,47550,46100,46200,179357,-0.028391167000000002,47290,47680,47945.0,46541.66667,45132.91667,0,0,46200
2017-01-24,46050,46200,45200,45800,196361,-0.008658009,46940,47490,47782.5,46532.5,45161.66667,0,0,45800
2017-01-25,46000,46400,45600,45800,147332,0.0,46510,47200,47620.0,46520.83333,45189.16667,0,0,45800
2017-01-26,45800,46450,45600,45900,120593,0.002183406,46250,46970,47450.0,46502.5,45224.16667,0,0,45900
2017-01-31,45300,46900,45300,46300,170045,0.008714597,46000,46825,47342.5,46507.5,45262.91667,0,0,46300
