Date,Open,High,Low,Close,Volume,Change,5Days,10Days,20Days,60Days,120Days,emotion,count,Escore
2017-01-02,23545,23674,22932,23010,195940,-0.025430153,23701.10909,24061.83636,24326.28182,24954.06364,25816.75152,1,2.8,23654
2017-01-03,23054,23191,22622,22790,189640,-0.004654008,23480.92727,23845.71818,24263.88636,24898.86364,25782.11591,1,4.2,23747
2017-01-04,22898,23108,22613,22884,194247,0.002914077,23283.56364,23661.22727,24195.57273,24847.91364,25746.9803,1,5.9,24234
2017-01-05,22885,23448,22834,23333,241680,0.016645043,23159.38182,23561.5,24162.85455,24801.37576,25712.82348,1,2.2,23846
2017-01-06,23276,23524,22951,23348,440863,0.000936353,23073.41818,23484.08182,24112.20909,24756.65909,25681.30833,1,4.6,24422
2017-01-09,23281,23454,22976,23148,207098,-0.009070707,23101,23401.05455,24029.94545,24709.05909,25647.5697,1,3.3,23911
2017-01-10,23161,23346,22949,23149,181138,0.003863371,23172.69091,23326.80909,23947.82727,24662.16212,25615.45076,1,1.7,23542
2017-01-11,23206,23356,22898,23080,178642,0.00567798,23211.8,23247.68182,23858.56364,24617.56667,25583.5053,1,3.7,23933
2017-01-12,23130,23593,22935,23338,278705,0.014229069,23212.72727,23186.05455,23785.33636,24577.74091,25553.65909,0,3.9,23338
2017-01-13,23281,23694,23157,23570,182709,0.000815116,23257.05455,23165.23636,23711.31818,24544.2,25526.74394,1,2.4,24135
2017-01-16,23652,23877,23387,23760,175646,0.002689319,23379.45455,23240.22727,23651.03182,24509.6697,25502.79849,1,2,24235
2017-01-17,23814,24115,23624,23880,147831,0.005730433,23525.74545,23349.21818,23597.46818,24477.96667,25481.47954,1,2.2,24405
2017-01-18,23913,24228,23708,24096,169859,0.00558758,23729.03636,23470.41818,23565.82273,24459.91515,25462.93182,1,5.6,25445
2017-01-19,24138,24303,23847,24050,210949,0.000794727,23871.6,23542.16364,23551.83182,24443.03182,25445.12727,1,2.6,24675
2017-01-20,24087,24285,23790,24141,197096,0.002554774,23985.87273,23621.46364,23552.77273,24420.74394,25424.90076,1,1.7,24551
2017-01-23,24146,24364,23837,24216,203089,0.00138256,24077.07273,23728.26364,23564.65909,24397.84697,25405.77424,1,2.8,24894
2017-01-24,24136,24445,23817,24143,207593,-0.002639457,24129.63636,23827.69091,23577.25,24377.04546,25381.88333,1,4.4,25205
2017-01-25,24149,24241,23719,23973,182087,-0.012671112,24105.05455,23917.04545,23582.36364,24358.09849,25350.82197,0,1.7,23973
2017-01-26,23972,24198,23642,24018,142445,0.006511633,24098.67273,23985.13636,23585.59545,24349.22576,25318.92349,1,2.2,24546
2017-01-31,23987,24310,23739,24069,143879,0.001657931,24084.21818,24035.04545,23600.14091,24334.50151,25289.97576,1,4,25031
2017-02-01,24082,24451,23920,24332,165262,0.017402804,24107.4,24092.23636,23666.23182,24317.35909,25269.65227,1,1,24575
2017-02-02,24268,24871,24115,24492,291695,0.001879009,24177.2,24153.41818,23751.31818,24301.89394,25250.01591,1,4.8,25667
2017-02-03,24559,25010,24133,24582,289888,-0.000644523,24298.89091,24201.97273,23836.19545,24289.56364,25228.32955,1,3,25319
2017-02-06,24646,24910,24362,24736,222427,0.003529569,24442.36364,24270.51818,23906.34091,24291.19849,25200.29773,1,2.6,25379
