JaChiGoo_code,SySul_Hap,KG_GongLib,KG_BogJee,KG_BeobIn,KG_MinGan,KG_Gajeong,KG_BooMo,KG_JickJang
11440,209,71,0,5,43,72,4,14
11740,260,69,1,2,82,100,1,5
11710,395,88,1,3,122,164,2,15
11680,201,59,0,0,56,58,1,27
11650,189,79,0,1,36,52,2,19
11620,251,82,2,6,73,83,1,4
11590,219,63,3,2,62,81,1,7
11560,248,72,2,2,56,83,0,33
11545,157,54,1,10,43,42,0,7
11530,318,85,3,6,79,131,5,9
11500,409,83,2,3,125,178,4,14
11470,299,80,0,2,58,151,1,7
11410,149,58,0,2,43,40,1,5
11380,263,71,0,9,120,59,1,3
11350,405,91,5,0,47,254,1,7
11320,229,63,1,2,66,94,1,2
11305,153,61,1,2,57,29,1,2
11290,267,86,2,14,63,93,3,6
11260,230,55,0,5,84,82,1,3
11230,215,75,0,3,52,76,0,9
11215,188,49,0,1,81,53,1,3
11200,179,78,0,3,30,61,0,7
11170,119,31,2,8,20,47,1,10
11140,69,24,0,7,6,11,0,21
11110,77,34,2,3,8,4,0,26
11110,78,33,2,3,9,4,0,27
11740,272,64,1,2,96,103,1,5
11710,408,72,1,5,137,176,2,15
11680,221,54,0,0,70,69,1,27
11650,200,74,0,1,41,63,2,19
11620,270,72,1,6,85,100,1,5
11590,225,58,3,2,69,85,1,7
11560,257,65,2,1,63,95,0,31
11545,165,50,1,10,48,48,1,7
11530,332,71,3,8,89,146,6,9
11500,441,74,2,2,141,206,3,13
11470,317,75,0,2,69,163,1,7
11440,210,68,0,5,45,76,4,12
11410,153,52,0,3,45,47,1,5
11380,278,56,1,7,142,69,1,2
11350,453,72,4,0,59,310,1,7
11320,243,50,1,2,75,112,1,2
11305,165,51,1,3,66,41,1,2
11290,275,80,2,17,73,95,2,6
11260,241,46,0,4,95,94,0,2
11230,224,70,0,3,58,84,0,9
11215,199,43,0,1,92,58,2,3
11200,187,77,0,3,36,64,0,7
11170,125,31,2,9,24,48,1,10
11140,69,23,0,7,7,13,0,19
11560,263,54,2,1,77,99,0,30
11110,75,28,2,3,11,5,0,26
11140,67,21,0,7,7,14,0,18
11170,128,28,2,9,28,51,1,9
11200,190,70,0,3,40,70,0,7
11215,214,34,0,4,106,65,2,3
11230,228,55,0,3,69,92,0,9
11260,252,39,1,4,101,105,0,2
11290,298,66,3,17,95,110,1,6
11305,174,46,1,3,72,49,1,2
11320,255,42,1,2,77,129,2,2
11350,478,57,4,1,78,330,1,7
11380,294,41,1,7,158,84,1,2
11410,158,47,0,3,51,51,1,5
11440,213,62,0,6,51,78,4,12
11470,331,66,0,3,86,169,1,6
11500,441,70,2,3,145,212,1,8
11530,341,60,3,8,97,158,6,9
11545,174,45,1,13,54,53,1,7
11590,230,53,3,2,74,90,1,7
11620,280,66,4,6,93,106,0,5
11650,206,61,0,1,44,79,2,19
11680,231,53,0,0,71,81,1,25
11710,421,57,1,5,146,195,2,15
11740,284,53,1,2,108,117,0,3
11740,289,46,1,2,115,123,0,2
11710,421,46,1,7,149,204,1,13
11680,243,53,0,0,75,90,1,24
11650,201,48,0,1,47,83,2,20
11620,281,51,4,8,96,116,1,5
11590,235,44,3,2,79,99,1,7
11560,266,41,2,3,83,109,0,28
11545,174,42,1,13,55,56,1,6
11530,356,50,3,9,100,180,6,8
11500,438,64,3,3,149,211,1,7
11470,342,56,0,3,92,185,1,5
11440,228,49,0,11,58,96,4,10
11410,159,37,0,3,54,59,1,5
11380,314,32,1,7,177,94,1,2
11350,494,47,4,1,79,356,1,6
11320,265,32,1,2,80,146,2,2
